ticker,date,B&H,Opt Stp,Stress,StressVol,,date, B&H , Opt Stp , Stress , StressVol , B&H , Opt Stp , Stress , StressVol 
NCLH,5/10/16,-8.979999542,-6.509998322,-8.979999542,-8.680000305,,5/10/16, $991 , $993 , $991 , $991 ,-0.898%,-0.651%,-0.898%,-0.868%
CPB,5/20/16,-2.112586975,2.844242096,5.138233185,2.844242096,,5/20/16, $989 , $996 , $996 , $994 ,-0.213%,0.286%,0.518%,0.287%
MKC,6/30/16,-2.743034363,-2.022541046,-1.20224762,-0.959194183,,6/30/16, $986 , $994 , $995 , $993 ,-0.277%,-0.203%,-0.121%,-0.096%
WBA,7/6/16,-0.119091034,-1.696998596,-0.119091034,2.586227417,,7/6/16, $986 , $993 , $995 , $996 ,-0.012%,-0.171%,-0.012%,0.260%
HAS,7/18/16,1.941680908,2.740756989,1.941680908,1.941680908,,7/18/16, $988 , $995 , $997 , $998 ,0.197%,0.276%,0.195%,0.195%
CMA,7/19/16,4.032775879,2.289352417,3.414848328,1.507858276,,7/19/16, $992 , $998 ," $1,000 ", $999 ,0.408%,0.230%,0.343%,0.151%
PM,7/19/16,-1.532409668,-1.683193207,-1.683193207,-1.683193207,,7/19/16, $990 , $996 , $999 , $998 ,-0.154%,-0.169%,-0.168%,-0.168%
BIIB,7/21/16,14.00997925,19.37997437,47.65997314,19.37997437,,7/21/16," $1,004 "," $1,015 "," $1,046 "," $1,017 ",1.414%,1.946%,4.773%,1.943%
LUV,7/21/16,1.092899323,2.332744598,3.850158691,2.332744598,,7/21/16," $1,006 "," $1,018 "," $1,050 "," $1,019 ",0.109%,0.230%,0.368%,0.229%
AAL,7/22/16,4.181884766,4.181884766,4.181884766,-2.738922119,,7/22/16," $1,010 "," $1,022 "," $1,054 "," $1,017 ",0.416%,0.411%,0.398%,-0.269%
SWK,7/22/16,-4.090194702,3.808792114,-4.090194702,2.460037231,,7/22/16," $1,006 "," $1,026 "," $1,050 "," $1,019 ",-0.405%,0.373%,-0.388%,0.242%
TXT,7/22/16,-0.307029724,-1.591526031,-0.307029724,-1.136802673,,7/22/16," $1,005 "," $1,024 "," $1,050 "," $1,018 ",-0.031%,-0.155%,-0.029%,-0.112%
VFC,7/22/16,-6.573493958,-1.736915588,-1.736915588,-1.736915588,,7/22/16, $999 ," $1,022 "," $1,048 "," $1,016 ",-0.654%,-0.170%,-0.165%,-0.171%
BAX,7/26/16,1.136081696,-1.706096649,1.136081696,1.136081696,,7/26/16," $1,000 "," $1,021 "," $1,049 "," $1,017 ",0.114%,-0.167%,0.108%,0.112%
FIS,7/26/16,-3.263343811,-4.80897522,-3.263343811,-5.687171936,,7/26/16, $997 ," $1,016 "," $1,046 "," $1,012 ",-0.326%,-0.471%,-0.311%,-0.559%
ILMN,7/26/16,-10.3112793,11.81906128,-10.3112793,15.87548828,,7/26/16, $986 ," $1,028 "," $1,036 "," $1,027 ",-1.035%,1.163%,-0.986%,1.569%
MMM,7/26/16,-6.525398254,-3.303718567,-6.525398254,-3.423728943,,7/26/16, $980 ," $1,024 "," $1,029 "," $1,024 ",-0.662%,-0.321%,-0.630%,-0.333%
BA,7/27/16,9.842453003,-2.691986084,-2.691986084,-2.691986084,,7/27/16, $990 ," $1,022 "," $1,026 "," $1,021 ",1.004%,-0.263%,-0.262%,-0.263%
CHRW,7/27/16,-0.518936157,1.093582153,2.57535553,1.044242859,,7/27/16, $989 ," $1,023 "," $1,029 "," $1,022 ",-0.052%,0.107%,0.251%,0.102%
BEN,7/28/16,0.179519653,0.179519653,0.179519653,1.316558838,,7/28/16, $989 ," $1,023 "," $1,029 "," $1,024 ",0.018%,0.018%,0.017%,0.129%
CMS,7/28/16,-2.640914917,-1.893245697,-2.640914917,-2.171638489,,7/28/16, $987 ," $1,021 "," $1,027 "," $1,022 ",-0.267%,-0.185%,-0.257%,-0.212%
IP,7/28/16,-0.107898712,1.099412918,2.084144592,1.099412918,,7/28/16, $987 ," $1,022 "," $1,029 "," $1,023 ",-0.011%,0.108%,0.203%,0.108%
PCG,7/28/16,-3.312347412,-2.803592682,1.363399506,-1.065746307,,7/28/16, $983 ," $1,019 "," $1,030 "," $1,022 ",-0.336%,-0.274%,0.133%,-0.104%
PSA,7/28/16,-25.12698364,-6.902740479,-10.56776428,-5.845184326,,7/28/16, $958 ," $1,012 "," $1,019 "," $1,016 ",-2.555%,-0.677%,-1.026%,-0.572%
LYB,7/29/16,2.511138916,3.612537384,4.581199646,3.612537384,,7/29/16, $961 ," $1,016 "," $1,024 "," $1,019 ",0.262%,0.357%,0.449%,0.356%
VTR,7/29/16,-5.999393463,-5.060501099,-6.027427673,-5.060501099,,7/29/16, $955 ," $1,011 "," $1,018 "," $1,014 ",-0.625%,-0.498%,-0.589%,-0.496%
CVS,8/2/16,-19.1511116,-3.39175415,-3.39175415,-3.39175415,,8/2/16, $936 ," $1,008 "," $1,015 "," $1,011 ",-2.006%,-0.335%,-0.333%,-0.334%
MOS,8/2/16,-2.391540527,1.773090363,-3.353218079,2.81401062,,8/2/16, $933 ," $1,009 "," $1,011 "," $1,014 ",-0.256%,0.176%,-0.331%,0.278%
PNW,8/2/16,-2.87386322,-2.90694046,-2.87386322,-3.554569244,,8/2/16, $930 ," $1,006 "," $1,008 "," $1,010 ",-0.308%,-0.288%,-0.284%,-0.351%
TAP,8/2/16,4.106948853,2.456047058,5.958000183,3.189781189,,8/2/16, $934 ," $1,009 "," $1,014 "," $1,013 ",0.441%,0.244%,0.591%,0.316%
XYL,8/2/16,0.838798523,3.546451569,3.546451569,1.931957245,,8/2/16, $935 ," $1,012 "," $1,018 "," $1,015 ",0.090%,0.352%,0.350%,0.191%
D,8/3/16,-0.597248077,-2.53263855,-0.597248077,-2.53263855,,8/3/16, $935 ," $1,010 "," $1,017 "," $1,013 ",-0.064%,-0.250%,-0.059%,-0.249%
DOC,8/3/16,-3.969230652,-1.363166809,-2.741786957,-1.363166809,,8/3/16, $931 ," $1,009 "," $1,015 "," $1,011 ",-0.425%,-0.135%,-0.270%,-0.135%
DVN,8/3/16,1.181829453,2.702342987,3.291412354,2.437269211,,8/3/16, $932 ," $1,011 "," $1,018 "," $1,014 ",0.127%,0.268%,0.324%,0.241%
XEL,8/3/16,-1.870191574,-1.387763977,-2.542154312,-1.191753387,,8/3/16, $930 ," $1,010 "," $1,015 "," $1,013 ",-0.201%,-0.137%,-0.250%,-0.118%
BDX,8/4/16,2.001876831,7.430328369,6.011932373,4.518508911,,8/4/16, $932 ," $1,017 "," $1,021 "," $1,017 ",0.215%,0.736%,0.592%,0.446%
K,8/4/16,-4.785015106,-3.4126091,-3.4126091,-3.4126091,,8/4/16, $927 ," $1,014 "," $1,018 "," $1,014 ",-0.513%,-0.335%,-0.334%,-0.336%
